,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,35,55,3,0,8,948,1090,1,0.13027522935779817,0.8697247706422019,989,0.03211009174311927,0.05045871559633028,0.0027522935779816515,0.0,0.007339449541284404,0.9073394495412844
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,37,80,6,0,20,1107,1429,1,0.22533240027991602,0.7746675997200839,1286,0.02589223233030091,0.05598320503848846,0.004198740377886634,0.0,0.013995801259622114,0.8999300209937019
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,44,66,10,1,11,995,1467,1,0.321745057941377,0.678254942058623,1335,0.029993183367416496,0.044989775051124746,0.006816632583503749,0.0006816632583503749,0.007498295841854124,0.9100204498977505
559,Baltimore City,985,Baltimore City Precinct 26-030,419,47,30,6,3,19,566,985,1,0.42538071065989846,0.5746192893401015,880,0.047715736040609136,0.030456852791878174,0.006091370558375634,0.003045685279187817,0.019289340101522844,0.8934010152284264
574,Baltimore City,502,Baltimore City Precinct 26-001,417,4,2,0,1,4,85,502,1,0.8306772908366534,0.1693227091633466,491,0.00796812749003984,0.00398406374501992,0.0,0.00199203187250996,0.00796812749003984,0.9780876494023905
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,33,30,8,2,16,1418,2426,1,0.4154987633965375,0.5845012366034625,2337,0.013602638087386645,0.01236603462489695,0.0032976092333058533,0.0008244023083264633,0.006595218466611707,0.9633140972794724
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,33,16,4,3,14,691,2095,1,0.6701670644391408,0.3298329355608592,2025,0.015751789976133652,0.0076372315035799524,0.0019093078758949881,0.001431980906921241,0.006682577565632458,0.9665871121718377
581,Baltimore City,782,Baltimore City Precinct 26-005,514,22,20,9,4,7,268,782,1,0.6572890025575447,0.34271099744245526,720,0.028132992327365727,0.02557544757033248,0.011508951406649617,0.005115089514066497,0.008951406649616368,0.9207161125319693
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,20,15,8,3,13,525,1623,1,0.6765249537892791,0.3234750462107209,1564,0.012322858903265557,0.009242144177449169,0.004929143561306223,0.0018484288354898336,0.008009858287122612,0.9636475662353666
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,39,9,11,4,12,635,1434,1,0.5571827057182706,0.44281729428172945,1359,0.027196652719665274,0.006276150627615063,0.007670850767085077,0.002789400278940028,0.008368200836820083,0.9476987447698745
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,15,7,1,0,4,512,1562,1,0.6722151088348272,0.32778489116517284,1535,0.009603072983354673,0.004481434058898848,0.0006402048655569782,0.0,0.002560819462227913,0.9827144686299616
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,73,60,12,0,24,1347,1463,1,0.07928913192071087,0.9207108680792891,1294,0.04989747095010253,0.04101161995898838,0.008202323991797676,0.0,0.016404647983595352,0.8844839371155161
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,106,205,11,2,38,4100,4697,1,0.12710240579093038,0.8728975942090696,4335,0.022567596338088143,0.04364487971045348,0.00234192037470726,0.0004258037044922291,0.008090270385352353,0.9229295294869065
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,79,31,12,6,28,2443,3265,1,0.2517611026033691,0.748238897396631,3109,0.02419601837672282,0.009494640122511486,0.003675344563552833,0.0018376722817764165,0.008575803981623277,0.9522205206738131
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,64,38,6,1,27,2586,2660,1,0.027819548872180452,0.9721804511278196,2524,0.02406015037593985,0.014285714285714285,0.002255639097744361,0.00037593984962406017,0.010150375939849625,0.9488721804511279
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,59,22,4,1,19,1080,1089,1,0.008264462809917356,0.9917355371900827,984,0.05417814508723599,0.020202020202020204,0.0036730945821854912,0.0009182736455463728,0.017447199265381085,0.9035812672176309
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,58,18,4,2,17,1549,1595,1,0.02884012539184953,0.9711598746081505,1496,0.03636363636363636,0.01128526645768025,0.0025078369905956114,0.0012539184952978057,0.010658307210031349,0.9379310344827586
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,55,58,16,5,13,985,3555,1,0.7229254571026723,0.2770745428973277,3408,0.015471167369901548,0.01631504922644163,0.00450070323488045,0.0014064697609001407,0.0036568213783403658,0.9586497890295359
811,Baltimore City,929,Baltimore City Precinct 20-009,527,12,9,6,0,12,402,929,1,0.5672766415500539,0.4327233584499462,890,0.012917115177610334,0.00968783638320775,0.006458557588805167,0.0,0.012917115177610334,0.9580193756727664
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,43,37,7,1,21,1021,1049,1,0.02669208770257388,0.9733079122974261,940,0.04099142040038131,0.03527168732125834,0.00667302192564347,0.0009532888465204957,0.02001906577693041,0.8960915157292659
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,41,28,13,8,27,794,3568,1,0.7774663677130045,0.22253363228699552,3451,0.01149103139013453,0.007847533632286996,0.0036434977578475337,0.002242152466367713,0.0075672645739910315,0.9672085201793722
814,Baltimore City,756,Baltimore City Precinct 20-010,333,7,5,0,0,1,423,756,1,0.44047619047619047,0.5595238095238095,743,0.009259259259259259,0.006613756613756613,0.0,0.0,0.0013227513227513227,0.9828042328042328
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,38,23,1,0,10,2268,2322,1,0.023255813953488372,0.9767441860465116,2250,0.01636520241171404,0.009905254091300603,0.0004306632213608958,0.0,0.004306632213608958,0.9689922480620154
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,20,23,7,0,8,1455,2303,1,0.36821537125488496,0.6317846287451151,2245,0.008684324793747287,0.00998697351280938,0.00303951367781155,0.0,0.0034737299174989146,0.9748154580981329
817,Baltimore City,950,Baltimore City Precinct 20-002,70,16,12,2,0,9,880,950,1,0.07368421052631578,0.9263157894736842,911,0.016842105263157894,0.01263157894736842,0.002105263157894737,0.0,0.009473684210526316,0.9589473684210527
