,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
1378,Baltimore City,2138,Baltimore City Precinct 25-002,205,1832,37,764,30,64,2138,1,0.09588400374181479,0.8568755846585594,0.017305893358278764,0.029934518241347054,1344,0.35734331150608045,0.01403180542563143,0.6286248830682881
1379,Baltimore City,1494,Baltimore City Precinct 28-013,105,1354,12,466,11,23,1494,1,0.07028112449799197,0.9062918340026773,0.008032128514056224,0.015394912985274432,1017,0.3119143239625167,0.007362784471218206,0.6807228915662651
1380,Baltimore City,714,Baltimore City Precinct 20-008,104,582,3,252,11,25,714,1,0.14565826330532214,0.8151260504201681,0.004201680672268907,0.0350140056022409,451,0.35294117647058826,0.015406162464985995,0.6316526610644257
1698,Baltimore City,1766,Baltimore City Precinct 15-001,42,1689,11,712,8,24,1766,1,0.02378255945639864,0.9563986409966025,0.00622876557191393,0.013590033975084938,1046,0.4031710079275198,0.004530011325028313,0.5922989807474519
1699,Baltimore City,571,Baltimore City Precinct 28-003,5,541,11,192,3,14,571,1,0.008756567425569177,0.9474605954465849,0.01926444833625219,0.024518388791593695,376,0.3362521891418564,0.005253940455341506,0.658493870402802
1700,Baltimore City,1228,Baltimore City Precinct 27-061,324,864,16,258,67,24,1228,1,0.26384364820846906,0.7035830618892508,0.013029315960912053,0.019543973941368076,903,0.21009771986970685,0.05456026058631922,0.7353420195439739
1701,Baltimore City,1238,Baltimore City Precinct 27-056,13,1188,21,463,2,16,1238,1,0.01050080775444265,0.9596122778675282,0.016962843295638127,0.012924071082390954,773,0.3739903069466882,0.0016155088852988692,0.624394184168013
1702,Baltimore City,2460,Baltimore City Precinct 27-057,36,2363,16,794,0,45,2460,1,0.014634146341463415,0.9605691056910569,0.0065040650406504065,0.018292682926829267,1666,0.3227642276422764,0.0,0.6772357723577236
1703,Baltimore City,1163,Baltimore City Precinct 27-059,32,1094,15,347,6,22,1163,1,0.027515047291487533,0.94067067927773,0.012897678417884782,0.018916595012897677,810,0.29836629406706794,0.005159071367153913,0.6964746345657782
1704,Baltimore City,1669,Baltimore City Precinct 28-001,105,1433,80,518,19,51,1669,1,0.06291192330736968,0.8585979628520072,0.04793289394847214,0.03055721989215099,1132,0.3103654883163571,0.011384062312762133,0.6782504493708807
1705,Baltimore City,3062,Baltimore City Precinct 27-067,1028,1457,437,604,295,140,3062,1,0.3357282821685173,0.4758327890267799,0.14271717831482691,0.045721750489875895,2163,0.19725669497060744,0.09634225996080993,0.7064010450685826
1706,Baltimore City,2688,Baltimore City Precinct 27-062,1151,1405,52,337,351,80,2688,1,0.42819940476190477,0.5226934523809523,0.019345238095238096,0.02976190476190476,2000,0.1253720238095238,0.13058035714285715,0.7440476190476191
1707,Baltimore City,2392,Baltimore City Precinct 27-066,1756,432,60,352,651,144,2392,1,0.7341137123745819,0.1806020066889632,0.02508361204013378,0.06020066889632107,1389,0.14715719063545152,0.2721571906354515,0.580685618729097
1709,Baltimore City,1675,Baltimore City Precinct 27-063,770,825,40,448,307,40,1675,1,0.4597014925373134,0.4925373134328358,0.023880597014925373,0.023880597014925373,920,0.26746268656716415,0.18328358208955223,0.5492537313432836
1710,Baltimore City,3698,Baltimore City Precinct 27-065,2866,531,69,601,853,232,3698,1,0.775013520822066,0.1435911303407247,0.018658734451054624,0.06273661438615467,2244,0.16252028123309897,0.2306652244456463,0.6068144943212548
1711,Baltimore City,997,Baltimore City Precinct 27-060,171,786,11,433,102,29,997,1,0.1715145436308927,0.7883650952858575,0.011033099297893681,0.029087261785356068,462,0.43430290872617855,0.10230692076228685,0.4633901705115346
1712,Baltimore City,1689,Baltimore City Precinct 27-064,1206,325,51,330,499,107,1689,1,0.7140319715808171,0.19242155121373594,0.03019538188277087,0.06335109532267615,860,0.19538188277087035,0.295441089402013,0.5091770278271166
1726,Baltimore City,818,Baltimore City Precinct 15-008,13,767,22,307,9,16,818,1,0.01589242053789731,0.9376528117359413,0.02689486552567237,0.019559902200488997,502,0.3753056234718826,0.011002444987775062,0.6136919315403423
1727,Baltimore City,2394,Baltimore City Precinct 15-003,33,2300,16,1030,13,45,2394,1,0.013784461152882205,0.960735171261487,0.006683375104427736,0.018796992481203006,1351,0.4302422723475355,0.005430242272347535,0.564327485380117
1728,Baltimore City,1024,Baltimore City Precinct 15-004,8,995,16,376,6,5,1024,1,0.0078125,0.9716796875,0.015625,0.0048828125,642,0.3671875,0.005859375,0.626953125
1729,Baltimore City,1372,Baltimore City Precinct 15-005,11,1327,7,541,11,27,1372,1,0.008017492711370262,0.967201166180758,0.00510204081632653,0.01967930029154519,820,0.3943148688046647,0.008017492711370262,0.597667638483965
