,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,LG18P_BARN,LG18P_KOBE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,LG18PNone,LG18P_BARN_pct,LG18P_KOBE_pct,LG18PNone_pct
10,55001,341,Dell Prairie,310,7,9,14,11,15,341,1.0,0.9090909090909091,0.020527859237536656,0.026392961876832845,0.04398826979472141,316,0.04105571847507331,0.03225806451612903,0.9266862170087976
11,55001,826,Dell Prairie,729,12,28,35,28,57,826,1.0,0.8825665859564165,0.014527845036319613,0.03389830508474576,0.06900726392251816,763,0.0423728813559322,0.03389830508474576,0.923728813559322
12,55001,157,Dell Prairie,145,0,9,6,5,3,157,1.0,0.9235668789808917,0.0,0.05732484076433121,0.01910828025477707,146,0.03821656050955414,0.03184713375796178,0.9299363057324841
13,55001,496,Easton,453,3,25,20,18,15,496,1.0,0.9133064516129032,0.006048387096774193,0.05040322580645161,0.03024193548387097,458,0.04032258064516129,0.036290322580645164,0.9233870967741935
14,55001,394,Easton,379,1,4,17,14,10,394,1.0,0.9619289340101523,0.0025380710659898475,0.01015228426395939,0.025380710659898477,363,0.04314720812182741,0.03553299492385787,0.9213197969543148
15,55001,543,Friendship,500,11,11,32,21,21,543,1.0,0.9208103130755064,0.020257826887661142,0.020257826887661142,0.03867403314917127,490,0.058931860036832415,0.03867403314917127,0.9023941068139963
16,55001,517,Jackson,464,4,19,28,14,30,517,1.0,0.8974854932301741,0.007736943907156673,0.0367504835589942,0.058027079303675046,475,0.05415860735009671,0.027079303675048357,0.9187620889748549
17,55001,455,Jackson,438,2,6,28,14,9,455,1.0,0.9626373626373627,0.004395604395604396,0.013186813186813187,0.01978021978021978,413,0.06153846153846154,0.03076923076923077,0.9076923076923077
18,55001,228,Leola,216,0,1,4,3,11,228,1.0,0.9473684210526315,0.0,0.0043859649122807015,0.04824561403508772,221,0.017543859649122806,0.013157894736842105,0.9692982456140351
19,55001,263,Lincoln,247,3,6,20,12,7,263,1.0,0.9391634980988594,0.011406844106463879,0.022813688212927757,0.026615969581749048,231,0.07604562737642585,0.045627376425855515,0.8783269961977186
20,55001,361,Monroe,349,1,4,19,14,7,361,1.0,0.9667590027700831,0.002770083102493075,0.0110803324099723,0.019390581717451522,328,0.05263157894736842,0.038781163434903045,0.9085872576177285
21,55001,402,New Chester,371,5,16,7,2,10,402,1.0,0.9228855721393034,0.012437810945273632,0.03980099502487562,0.024875621890547265,393,0.017412935323383085,0.004975124378109453,0.9776119402985075
