,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
0,55001,427,Adams,378,12,19,102,114,18,427,1.0,0.8852459016393442,0.02810304449648712,0.04449648711943794,0.04215456674473068,211,0.2388758782201405,0.26697892271662765,0.49414519906323184
1,55001,471,Adams,437,5,14,99,111,15,471,1.0,0.9278131634819533,0.010615711252653927,0.029723991507430998,0.03184713375796178,261,0.21019108280254778,0.2356687898089172,0.554140127388535
2,55001,199,Adams,192,0,6,44,50,1,199,1.0,0.964824120603015,0.0,0.03015075376884422,0.005025125628140704,105,0.22110552763819097,0.25125628140703515,0.5276381909547738
3,55001,297,Adams,280,0,12,56,62,5,297,1.0,0.9427609427609428,0.0,0.04040404040404041,0.016835016835016835,179,0.18855218855218855,0.20875420875420875,0.6026936026936027
4,55001,769,Adams,725,0,23,155,231,21,769,1.0,0.9427828348504551,0.0,0.02990897269180754,0.027308192457737322,383,0.20156046814044212,0.30039011703511054,0.4980494148244473
5,55001,288,Adams,258,3,16,57,85,11,288,1.0,0.8958333333333334,0.010416666666666666,0.05555555555555555,0.03819444444444445,146,0.19791666666666666,0.2951388888888889,0.5069444444444444
6,55001,91,Adams,88,0,2,19,28,1,91,1.0,0.967032967032967,0.0,0.02197802197802198,0.01098901098901099,44,0.2087912087912088,0.3076923076923077,0.4835164835164835
7,55001,271,Big Flats,247,4,12,52,85,8,271,1.0,0.9114391143911439,0.014760147601476014,0.04428044280442804,0.02952029520295203,134,0.1918819188191882,0.31365313653136534,0.4944649446494465
8,55001,545,Big Flats,527,1,7,103,166,10,545,1.0,0.9669724770642202,0.001834862385321101,0.012844036697247707,0.01834862385321101,276,0.1889908256880734,0.30458715596330277,0.5064220183486239
9,55001,195,Colburn,185,0,6,43,59,4,195,1.0,0.9487179487179487,0.0,0.03076923076923077,0.020512820512820513,93,0.2205128205128205,0.30256410256410254,0.47692307692307695
10,55001,341,Dell Prairie,310,7,9,84,105,15,341,1.0,0.9090909090909091,0.020527859237536656,0.026392961876832845,0.04398826979472141,152,0.24633431085043989,0.30791788856304986,0.44574780058651026
11,55001,826,Dell Prairie,729,12,28,204,255,57,826,1.0,0.8825665859564165,0.014527845036319613,0.03389830508474576,0.06900726392251816,367,0.2469733656174334,0.30871670702179177,0.4443099273607748
12,55001,157,Dell Prairie,145,0,9,37,46,3,157,1.0,0.9235668789808917,0.0,0.05732484076433121,0.01910828025477707,74,0.2356687898089172,0.2929936305732484,0.4713375796178344
13,55001,496,Easton,453,3,25,91,145,15,496,1.0,0.9133064516129032,0.006048387096774193,0.05040322580645161,0.03024193548387097,260,0.18346774193548387,0.2923387096774194,0.5241935483870968
14,55001,394,Easton,379,1,4,78,124,10,394,1.0,0.9619289340101523,0.0025380710659898475,0.01015228426395939,0.025380710659898477,192,0.19796954314720813,0.3147208121827411,0.4873096446700508
15,55001,543,Friendship,500,11,11,109,131,21,543,1.0,0.9208103130755064,0.020257826887661142,0.020257826887661142,0.03867403314917127,303,0.2007366482504604,0.24125230202578268,0.5580110497237569
16,55001,517,Jackson,464,4,19,108,143,30,517,1.0,0.8974854932301741,0.007736943907156673,0.0367504835589942,0.058027079303675046,266,0.20889748549323017,0.2765957446808511,0.5145067698259188
17,55001,455,Jackson,438,2,6,111,147,9,455,1.0,0.9626373626373627,0.004395604395604396,0.013186813186813187,0.01978021978021978,197,0.24395604395604395,0.3230769230769231,0.432967032967033
18,55001,228,Leola,216,0,1,20,105,11,228,1.0,0.9473684210526315,0.0,0.0043859649122807015,0.04824561403508772,103,0.08771929824561403,0.4605263157894737,0.4517543859649123
19,55001,263,Lincoln,247,3,6,64,82,7,263,1.0,0.9391634980988594,0.011406844106463879,0.022813688212927757,0.026615969581749048,117,0.24334600760456274,0.311787072243346,0.4448669201520912
20,55001,361,Monroe,349,1,4,95,134,7,361,1.0,0.9667590027700831,0.002770083102493075,0.0110803324099723,0.019390581717451522,132,0.2631578947368421,0.37119113573407203,0.3656509695290859
21,55001,402,New Chester,371,5,16,29,43,10,402,1.0,0.9228855721393034,0.012437810945273632,0.03980099502487562,0.024875621890547265,330,0.07213930348258707,0.10696517412935323,0.8208955223880597
22,55001,348,New Chester,299,4,29,28,42,16,348,1.0,0.8591954022988506,0.011494252873563218,0.08333333333333333,0.04597701149425287,278,0.08045977011494253,0.1206896551724138,0.7988505747126436
23,55001,1061,New Chester,402,450,103,85,126,106,1061,1.0,0.37888784165881245,0.42412818096135724,0.09707822808671066,0.0999057492931197,850,0.08011310084825636,0.11875589066918002,0.8011310084825636
24,55001,537,New Haven,493,0,15,145,164,29,537,1.0,0.9180633147113594,0.0,0.027932960893854747,0.054003724394785846,228,0.27001862197392923,0.3054003724394786,0.4245810055865922
25,55001,807,Preston,767,4,15,200,266,21,807,1.0,0.9504337050805453,0.004956629491945477,0.01858736059479554,0.026022304832713755,341,0.24783147459727387,0.32961586121437425,0.4225526641883519
26,55001,327,Preston,302,4,7,70,94,14,327,1.0,0.9235474006116208,0.012232415902140673,0.021406727828746176,0.04281345565749235,163,0.21406727828746178,0.2874617737003058,0.4984709480122324
27,55001,834,Quincy,799,1,10,219,253,24,834,1.0,0.9580335731414868,0.001199040767386091,0.011990407673860911,0.02877697841726619,362,0.26258992805755393,0.30335731414868106,0.434052757793765
