,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,GOV18P_EVE,GOV18P_MIT,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PNone,GOV18P_EVE_pct,GOV18P_MIT_pct,GOV18PNone_pct
0,55001,427,Adams,378,12,19,19,2,18,427,1.0,0.8852459016393442,0.02810304449648712,0.04449648711943794,0.04215456674473068,406,0.04449648711943794,0.00468384074941452,0.9508196721311475
1,55001,471,Adams,437,5,14,18,2,15,471,1.0,0.9278131634819533,0.010615711252653927,0.029723991507430998,0.03184713375796178,451,0.03821656050955414,0.004246284501061571,0.9575371549893843
2,55001,199,Adams,192,0,6,9,1,1,199,1.0,0.964824120603015,0.0,0.03015075376884422,0.005025125628140704,189,0.04522613065326633,0.005025125628140704,0.949748743718593
3,55001,297,Adams,280,0,12,12,1,5,297,1.0,0.9427609427609428,0.0,0.04040404040404041,0.016835016835016835,284,0.04040404040404041,0.003367003367003367,0.9562289562289562
4,55001,769,Adams,725,0,23,35,5,21,769,1.0,0.9427828348504551,0.0,0.02990897269180754,0.027308192457737322,729,0.045513654096228866,0.006501950585175552,0.9479843953185956
5,55001,288,Adams,258,3,16,12,1,11,288,1.0,0.8958333333333334,0.010416666666666666,0.05555555555555555,0.03819444444444445,275,0.041666666666666664,0.003472222222222222,0.9548611111111112
6,55001,91,Adams,88,0,2,4,0,1,91,1.0,0.967032967032967,0.0,0.02197802197802198,0.01098901098901099,87,0.04395604395604396,0.0,0.9560439560439561
7,55001,271,Big Flats,247,4,12,13,2,8,271,1.0,0.9114391143911439,0.014760147601476014,0.04428044280442804,0.02952029520295203,256,0.04797047970479705,0.007380073800738007,0.9446494464944649
8,55001,545,Big Flats,527,1,7,25,4,10,545,1.0,0.9669724770642202,0.001834862385321101,0.012844036697247707,0.01834862385321101,516,0.045871559633027525,0.007339449541284404,0.9467889908256881
9,55001,195,Colburn,185,0,6,8,1,4,195,1.0,0.9487179487179487,0.0,0.03076923076923077,0.020512820512820513,186,0.041025641025641026,0.005128205128205128,0.9538461538461539
10,55001,341,Dell Prairie,310,7,9,10,2,15,341,1.0,0.9090909090909091,0.020527859237536656,0.026392961876832845,0.04398826979472141,329,0.02932551319648094,0.005865102639296188,0.9648093841642229
11,55001,826,Dell Prairie,729,12,28,25,4,57,826,1.0,0.8825665859564165,0.014527845036319613,0.03389830508474576,0.06900726392251816,797,0.03026634382566586,0.004842615012106538,0.9648910411622276
12,55001,157,Dell Prairie,145,0,9,4,0,3,157,1.0,0.9235668789808917,0.0,0.05732484076433121,0.01910828025477707,153,0.025477707006369428,0.0,0.9745222929936306
13,55001,496,Easton,453,3,25,18,3,15,496,1.0,0.9133064516129032,0.006048387096774193,0.05040322580645161,0.03024193548387097,475,0.036290322580645164,0.006048387096774193,0.9576612903225806
14,55001,394,Easton,379,1,4,15,3,10,394,1.0,0.9619289340101523,0.0025380710659898475,0.01015228426395939,0.025380710659898477,376,0.03807106598984772,0.007614213197969543,0.9543147208121827
15,55001,543,Friendship,500,11,11,47,2,21,543,1.0,0.9208103130755064,0.020257826887661142,0.020257826887661142,0.03867403314917127,494,0.0865561694290976,0.003683241252302026,0.9097605893186004
16,55001,517,Jackson,464,4,19,26,3,30,517,1.0,0.8974854932301741,0.007736943907156673,0.0367504835589942,0.058027079303675046,488,0.05029013539651837,0.005802707930367505,0.9439071566731141
17,55001,455,Jackson,438,2,6,26,3,9,455,1.0,0.9626373626373627,0.004395604395604396,0.013186813186813187,0.01978021978021978,426,0.05714285714285714,0.006593406593406593,0.9362637362637363
18,55001,228,Leola,216,0,1,2,2,11,228,1.0,0.9473684210526315,0.0,0.0043859649122807015,0.04824561403508772,224,0.008771929824561403,0.008771929824561403,0.9824561403508771
19,55001,263,Lincoln,247,3,6,20,1,7,263,1.0,0.9391634980988594,0.011406844106463879,0.022813688212927757,0.026615969581749048,242,0.07604562737642585,0.0038022813688212928,0.9201520912547528
20,55001,361,Monroe,349,1,4,23,4,7,361,1.0,0.9667590027700831,0.002770083102493075,0.0110803324099723,0.019390581717451522,334,0.06371191135734072,0.0110803324099723,0.925207756232687
21,55001,402,New Chester,371,5,16,4,0,10,402,1.0,0.9228855721393034,0.012437810945273632,0.03980099502487562,0.024875621890547265,398,0.009950248756218905,0.0,0.9900497512437811
22,55001,348,New Chester,299,4,29,3,0,16,348,1.0,0.8591954022988506,0.011494252873563218,0.08333333333333333,0.04597701149425287,345,0.008620689655172414,0.0,0.9913793103448276
23,55001,1061,New Chester,402,450,103,14,2,106,1061,1.0,0.37888784165881245,0.42412818096135724,0.09707822808671066,0.0999057492931197,1045,0.013195098963242224,0.001885014137606032,0.9849198868991518
24,55001,537,New Haven,493,0,15,30,6,29,537,1.0,0.9180633147113594,0.0,0.027932960893854747,0.054003724394785846,501,0.055865921787709494,0.0111731843575419,0.9329608938547486
25,55001,807,Preston,767,4,15,61,8,21,807,1.0,0.9504337050805453,0.004956629491945477,0.01858736059479554,0.026022304832713755,738,0.07558859975216853,0.009913258983890954,0.9144981412639405
26,55001,327,Preston,302,4,7,22,2,14,327,1.0,0.9235474006116208,0.012232415902140673,0.021406727828746176,0.04281345565749235,303,0.0672782874617737,0.0061162079510703364,0.926605504587156
27,55001,834,Quincy,799,1,10,52,7,24,834,1.0,0.9580335731414868,0.001199040767386091,0.011990407673860911,0.02877697841726619,775,0.06235011990407674,0.008393285371702638,0.9292565947242206
