,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,SOS18P_LAF,SOS18P_MAR,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SOS18PNone,SOS18P_LAF_pct,SOS18P_MAR_pct,SOS18PNone_pct
0,55001,427,Adams,378,12,19,33,10,18,427,1.0,0.8852459016393442,0.02810304449648712,0.04449648711943794,0.04215456674473068,384,0.07728337236533958,0.0234192037470726,0.8992974238875878
1,55001,471,Adams,437,5,14,31,9,15,471,1.0,0.9278131634819533,0.010615711252653927,0.029723991507430998,0.03184713375796178,431,0.06581740976645435,0.01910828025477707,0.9150743099787686
2,55001,199,Adams,192,0,6,16,5,1,199,1.0,0.964824120603015,0.0,0.03015075376884422,0.005025125628140704,178,0.08040201005025126,0.02512562814070352,0.8944723618090452
3,55001,297,Adams,280,0,12,21,6,5,297,1.0,0.9427609427609428,0.0,0.04040404040404041,0.016835016835016835,270,0.0707070707070707,0.020202020202020204,0.9090909090909091
4,55001,769,Adams,725,0,23,43,15,21,769,1.0,0.9427828348504551,0.0,0.02990897269180754,0.027308192457737322,711,0.055916775032509754,0.01950585175552666,0.9245773732119635
5,55001,288,Adams,258,3,16,15,5,11,288,1.0,0.8958333333333334,0.010416666666666666,0.05555555555555555,0.03819444444444445,268,0.052083333333333336,0.017361111111111112,0.9305555555555556
6,55001,91,Adams,88,0,2,5,2,1,91,1.0,0.967032967032967,0.0,0.02197802197802198,0.01098901098901099,84,0.054945054945054944,0.02197802197802198,0.9230769230769231
7,55001,271,Big Flats,247,4,12,21,7,8,271,1.0,0.9114391143911439,0.014760147601476014,0.04428044280442804,0.02952029520295203,243,0.07749077490774908,0.025830258302583026,0.8966789667896679
8,55001,545,Big Flats,527,1,7,42,14,10,545,1.0,0.9669724770642202,0.001834862385321101,0.012844036697247707,0.01834862385321101,489,0.07706422018348624,0.025688073394495414,0.8972477064220183
9,55001,195,Colburn,185,0,6,12,5,4,195,1.0,0.9487179487179487,0.0,0.03076923076923077,0.020512820512820513,178,0.06153846153846154,0.02564102564102564,0.9128205128205128
10,55001,341,Dell Prairie,310,7,9,19,6,15,341,1.0,0.9090909090909091,0.020527859237536656,0.026392961876832845,0.04398826979472141,316,0.05571847507331378,0.017595307917888565,0.9266862170087976
11,55001,826,Dell Prairie,729,12,28,47,15,57,826,1.0,0.8825665859564165,0.014527845036319613,0.03389830508474576,0.06900726392251816,764,0.05690072639225181,0.018159806295399514,0.9249394673123487
12,55001,157,Dell Prairie,145,0,9,9,2,3,157,1.0,0.9235668789808917,0.0,0.05732484076433121,0.01910828025477707,146,0.05732484076433121,0.012738853503184714,0.9299363057324841
13,55001,496,Easton,453,3,25,29,9,15,496,1.0,0.9133064516129032,0.006048387096774193,0.05040322580645161,0.03024193548387097,458,0.05846774193548387,0.018145161290322582,0.9233870967741935
14,55001,394,Easton,379,1,4,23,7,10,394,1.0,0.9619289340101523,0.0025380710659898475,0.01015228426395939,0.025380710659898477,364,0.0583756345177665,0.017766497461928935,0.9238578680203046
15,55001,543,Friendship,500,11,11,45,16,21,543,1.0,0.9208103130755064,0.020257826887661142,0.020257826887661142,0.03867403314917127,482,0.08287292817679558,0.029465930018416207,0.8876611418047882
16,55001,517,Jackson,464,4,19,30,15,30,517,1.0,0.8974854932301741,0.007736943907156673,0.0367504835589942,0.058027079303675046,472,0.058027079303675046,0.029013539651837523,0.9129593810444874
17,55001,455,Jackson,438,2,6,30,15,9,455,1.0,0.9626373626373627,0.004395604395604396,0.013186813186813187,0.01978021978021978,410,0.06593406593406594,0.03296703296703297,0.9010989010989011
18,55001,228,Leola,216,0,1,3,3,11,228,1.0,0.9473684210526315,0.0,0.0043859649122807015,0.04824561403508772,222,0.013157894736842105,0.013157894736842105,0.9736842105263158
19,55001,263,Lincoln,247,3,6,24,9,7,263,1.0,0.9391634980988594,0.011406844106463879,0.022813688212927757,0.026615969581749048,230,0.09125475285171103,0.034220532319391636,0.8745247148288974
20,55001,361,Monroe,349,1,4,31,3,7,361,1.0,0.9667590027700831,0.002770083102493075,0.0110803324099723,0.019390581717451522,327,0.08587257617728532,0.008310249307479225,0.9058171745152355
21,55001,402,New Chester,371,5,16,7,3,10,402,1.0,0.9228855721393034,0.012437810945273632,0.03980099502487562,0.024875621890547265,392,0.017412935323383085,0.007462686567164179,0.9751243781094527
22,55001,348,New Chester,299,4,29,7,2,16,348,1.0,0.8591954022988506,0.011494252873563218,0.08333333333333333,0.04597701149425287,339,0.020114942528735632,0.005747126436781609,0.9741379310344828
