race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4152 (0.3619-0.4676),0.2955 (0.2611-0.3301),0.2894 (0.2491-0.3283),0.0533 (0.048-0.0587)
OVAP,0.6725 (0.4877-0.825),0.1437 (0.0483-0.2739),0.1838 (0.064-0.3418),0.071 (0.045-0.0988)
