race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1876 (0.1547-0.2207),0.8124 (0.7793-0.8453),0.455 (0.4359-0.4736)
OVAP,0.8766 (0.7563-0.963),0.1234 (0.037-0.2437),0.3467 (0.2621-0.4404)
