race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9874 (0.9771-0.9949),0.0126 (0.0051-0.0229),0.0371 (0.0324-0.0417)
BVAP,0.8278 (0.5389-0.9541),0.1722 (0.0459-0.4611),0.055 (0.0202-0.0996)
HVAP,0.7544 (0.5011-0.9199),0.2456 (0.0801-0.4989),0.0663 (0.0295-0.1211)
OVAP,0.7874 (0.5149-0.931),0.2126 (0.069-0.4851),0.0932 (0.0379-0.1603)
