race,AG14D,AG14R,AG14Turnout
WVAP,0.3729 (0.3436-0.4),0.6271 (0.6-0.6564),0.3848 (0.3677-0.4017)
OVAP,0.8541 (0.683-0.9638),0.1459 (0.0362-0.317),0.1789 (0.1119-0.2535)
