race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9832 (0.9692-0.9929),0.0168 (0.0071-0.0308),0.0409 (0.0351-0.0463)
OVAP,0.7663 (0.6139-0.8592),0.2337 (0.1408-0.3861),0.054 (0.0307-0.0805)
