race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3778 (0.3501-0.4046),0.6222 (0.5954-0.6499),0.4963 (0.4754-0.5186)
OVAP,0.8871 (0.7654-0.9628),0.1129 (0.0372-0.2346),0.3219 (0.2335-0.4109)
