race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2879 (0.2598-0.316),0.7121 (0.684-0.7402),0.4095 (0.3925-0.4263)
OVAP,0.8532 (0.7021-0.9553),0.1468 (0.0447-0.2979),0.1952 (0.1284-0.2689)
