race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3885 (0.3586-0.4165),0.6115 (0.5835-0.6414),0.4529 (0.4319-0.4746)
OVAP,0.9016 (0.788-0.9761),0.0984 (0.0239-0.212),0.3374 (0.2489-0.4315)
