race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8541 (0.796-0.9157),0.1459 (0.0843-0.204),0.0867 (0.0769-0.0963)
OVAP,0.3615 (0.1778-0.5262),0.6385 (0.4738-0.8222),0.155 (0.111-0.2026)
