race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5811 (0.5219-0.6405),0.0541 (0.0317-0.0796),0.1509 (0.1092-0.194),0.039 (0.0184-0.0647),0.175 (0.1312-0.2239),0.05 (0.0444-0.0561)
OVAP,0.336 (0.2169-0.4469),0.0974 (0.0431-0.1561),0.2033 (0.1226-0.2934),0.1319 (0.0758-0.1903),0.2314 (0.1424-0.3249),0.1292 (0.1012-0.1561)
