race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2871 (0.2633-0.3128),0.7129 (0.6872-0.7367),0.3958 (0.3812-0.4106)
BVAP,0.7095 (0.4437-0.9128),0.2905 (0.0872-0.5563),0.1644 (0.0693-0.285)
HVAP,0.6929 (0.3757-0.8986),0.3071 (0.1014-0.6243),0.2063 (0.0963-0.3343)
OVAP,0.7757 (0.5393-0.9445),0.2243 (0.0555-0.4607),0.3779 (0.191-0.5848)
