race,AG14D,AG14R,AG14Turnout
WVAP,0.3689 (0.3436-0.3934),0.6311 (0.6066-0.6564),0.3684 (0.3537-0.3839)
BVAP,0.7385 (0.4165-0.9302),0.2615 (0.0698-0.5835),0.1563 (0.0658-0.2766)
HVAP,0.6975 (0.3716-0.9077),0.3025 (0.0923-0.6284),0.1815 (0.085-0.3128)
OVAP,0.7736 (0.5168-0.9259),0.2264 (0.0741-0.4832),0.3987 (0.1966-0.5917)
