race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4406 (0.4166-0.4638),0.5594 (0.5362-0.5834),0.4004 (0.3834-0.4157)
BVAP,0.6746 (0.3681-0.9041),0.3254 (0.0959-0.6319),0.131 (0.0567-0.2366)
HVAP,0.6626 (0.3571-0.8837),0.3374 (0.1163-0.6429),0.1792 (0.0804-0.3069)
OVAP,0.7114 (0.4416-0.9065),0.2886 (0.0935-0.5584),0.3519 (0.1937-0.5492)
