race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4415 (0.4096-0.4741),0.5585 (0.5259-0.5904),0.4377 (0.4148-0.4629)
OVAP,0.9018 (0.7898-0.9694),0.0982 (0.0306-0.2102),0.3253 (0.2226-0.4257)
