race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5316 (0.4837-0.5772),0.0916 (0.0565-0.1269),0.3768 (0.3309-0.4226),0.0554 (0.0499-0.0602)
OVAP,0.2953 (0.1208-0.513),0.3586 (0.1911-0.555),0.3461 (0.1185-0.5531),0.0607 (0.0386-0.0876)
