race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4074 (0.383-0.435),0.5926 (0.565-0.617),0.5698 (0.5472-0.5939)
OVAP,0.8978 (0.7894-0.9689),0.1022 (0.0311-0.2106),0.3689 (0.2754-0.4593)
