race,AG18D,AG18R,AG18Turnout
WVAP,0.4098 (0.3783-0.441),0.5902 (0.559-0.6217),0.4534 (0.4292-0.4787)
OVAP,0.8917 (0.7819-0.9671),0.1083 (0.0329-0.2181),0.3334 (0.232-0.4411)
