race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4425 (0.4184-0.4665),0.5575 (0.5335-0.5816),0.4189 (0.4007-0.4354)
OVAP,0.8013 (0.5732-0.9381),0.1987 (0.0619-0.4268),0.1475 (0.0842-0.2213)
