race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.3647 (0.3334-0.3967),0.6353 (0.6033-0.6666),0.4785 (0.4571-0.502)
OVAP,0.8972 (0.792-0.9665),0.1028 (0.0335-0.208),0.3494 (0.2562-0.4423)
