race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5116 (0.4821-0.5394),0.4884 (0.4606-0.5179),0.4524 (0.4286-0.4751)
OVAP,0.8821 (0.7512-0.9606),0.1179 (0.0394-0.2488),0.3098 (0.2164-0.4186)
