,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
50,55003,643,Ashland,597,3,12,176,43,31,643,1.0,0.9284603421461898,0.004665629860031105,0.01866251944012442,0.04821150855365474,424,0.2737169517884914,0.06687402799377916,0.6594090202177294
51,55003,585,Ashland,494,3,11,149,81,77,585,1.0,0.8444444444444444,0.005128205128205128,0.018803418803418803,0.13162393162393163,355,0.2547008547008547,0.13846153846153847,0.6068376068376068
52,55003,563,Ashland,477,4,11,153,38,71,563,1.0,0.8472468916518651,0.007104795737122558,0.019538188277087035,0.1261101243339254,372,0.27175843694493784,0.0674955595026643,0.6607460035523979
53,55003,598,Ashland,535,2,5,179,74,56,598,1.0,0.8946488294314381,0.0033444816053511705,0.008361204013377926,0.09364548494983277,345,0.2993311036789298,0.12374581939799331,0.5769230769230769
54,55003,569,Ashland,510,3,7,195,75,49,569,1.0,0.8963093145869947,0.005272407732864675,0.012302284710017574,0.08611599297012303,299,0.3427065026362039,0.13181019332161686,0.5254833040421792
55,55003,448,Ashland,423,0,0,149,82,25,448,1.0,0.9441964285714286,0.0,0.0,0.05580357142857143,217,0.3325892857142857,0.18303571428571427,0.484375
56,55003,50,Butternut,49,0,1,14,9,0,50,1.0,0.98,0.0,0.02,0.0,27,0.28,0.18,0.54
57,55003,239,Butternut,230,1,0,62,36,8,239,1.0,0.9623430962343096,0.0041841004184100415,0.0,0.03347280334728033,141,0.2594142259414226,0.1506276150627615,0.5899581589958159
58,55003,290,Chippewa,286,0,1,68,81,3,290,1.0,0.9862068965517241,0.0,0.0034482758620689655,0.010344827586206896,141,0.23448275862068965,0.2793103448275862,0.4862068965517241
59,55003,589,Gingles,529,0,9,229,131,51,589,1.0,0.8981324278438031,0.0,0.015280135823429542,0.0865874363327674,229,0.38879456706281834,0.22241086587436332,0.38879456706281834
60,55003,63,Gordon,63,0,0,12,13,0,63,1.0,1.0,0.0,0.0,0.0,38,0.19047619047619047,0.20634920634920634,0.6031746031746031
