,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,SOS18P_LAF,SOS18P_MAR,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SOS18PNone,SOS18P_LAF_pct,SOS18P_MAR_pct,SOS18PNone_pct
0,55001,484,Adams,463,9,8,33,10,4,484,1.0,0.9566115702479339,0.01859504132231405,0.01652892561983471,0.008264462809917356,441,0.06818181818181818,0.02066115702479339,0.9111570247933884
1,55001,463,Adams,435,4,7,31,9,17,463,1.0,0.9395248380129589,0.008639308855291577,0.01511879049676026,0.0367170626349892,423,0.06695464362850972,0.019438444924406047,0.9136069114470843
2,55001,241,Adams,234,4,2,16,5,1,241,1.0,0.970954356846473,0.016597510373443983,0.008298755186721992,0.004149377593360996,220,0.06639004149377593,0.02074688796680498,0.9128630705394191
3,55001,306,Adams,298,1,2,21,6,5,306,1.0,0.9738562091503268,0.0032679738562091504,0.006535947712418301,0.016339869281045753,279,0.06862745098039216,0.0196078431372549,0.9117647058823529
4,55001,736,Adams,704,2,21,43,15,9,736,1.0,0.9565217391304348,0.002717391304347826,0.028532608695652172,0.012228260869565218,678,0.058423913043478264,0.020380434782608696,0.9211956521739131
5,55001,256,Adams,244,2,6,15,5,4,256,1.0,0.953125,0.0078125,0.0234375,0.015625,236,0.05859375,0.01953125,0.921875
6,55001,95,Adams,92,1,0,5,2,2,95,1.0,0.968421052631579,0.010526315789473684,0.0,0.021052631578947368,88,0.05263157894736842,0.021052631578947368,0.9263157894736842
7,55001,293,Big Flats,275,2,10,21,7,6,293,1.0,0.9385665529010239,0.006825938566552901,0.034129692832764506,0.020477815699658702,265,0.07167235494880546,0.023890784982935155,0.9044368600682594
8,55001,566,Big Flats,547,2,10,42,14,7,566,1.0,0.9664310954063604,0.0035335689045936395,0.0176678445229682,0.012367491166077738,510,0.07420494699646643,0.024734982332155476,0.901060070671378
9,55001,205,Colburn,201,1,1,12,5,2,205,1.0,0.9804878048780488,0.004878048780487805,0.004878048780487805,0.00975609756097561,188,0.05853658536585366,0.024390243902439025,0.9170731707317074
10,55001,324,Dell Prairie,316,1,2,19,6,5,324,1.0,0.9753086419753086,0.0030864197530864196,0.006172839506172839,0.015432098765432098,299,0.05864197530864197,0.018518518518518517,0.9228395061728395
11,55001,786,Dell Prairie,744,7,15,47,15,20,786,1.0,0.9465648854961832,0.008905852417302799,0.019083969465648856,0.02544529262086514,724,0.05979643765903308,0.019083969465648856,0.9211195928753181
12,55001,151,Dell Prairie,137,3,5,9,2,6,151,1.0,0.9072847682119205,0.019867549668874173,0.033112582781456956,0.039735099337748346,140,0.059602649006622516,0.013245033112582781,0.9271523178807947
13,55001,488,Easton,465,1,16,29,9,6,488,1.0,0.9528688524590164,0.0020491803278688526,0.03278688524590164,0.012295081967213115,450,0.05942622950819672,0.018442622950819672,0.9221311475409836
14,55001,397,Easton,388,1,7,23,7,1,397,1.0,0.9773299748110831,0.0025188916876574307,0.017632241813602016,0.0025188916876574307,367,0.05793450881612091,0.017632241813602016,0.924433249370277
15,55001,591,Friendship,556,12,15,45,16,8,591,1.0,0.9407783417935702,0.02030456852791878,0.025380710659898477,0.01353637901861252,530,0.07614213197969544,0.02707275803722504,0.8967851099830795
16,55001,434,Jackson,421,3,6,30,15,4,434,1.0,0.9700460829493087,0.0069124423963133645,0.013824884792626729,0.009216589861751152,389,0.06912442396313365,0.03456221198156682,0.8963133640552995
17,55001,434,Jackson,416,3,7,30,15,8,434,1.0,0.9585253456221198,0.0069124423963133645,0.016129032258064516,0.018433179723502304,389,0.06912442396313365,0.03456221198156682,0.8963133640552995
18,55001,256,Leola,248,0,7,3,3,1,256,1.0,0.96875,0.0,0.02734375,0.00390625,250,0.01171875,0.01171875,0.9765625
19,55001,249,Lincoln,240,0,6,24,9,3,249,1.0,0.963855421686747,0.0,0.024096385542168676,0.012048192771084338,216,0.0963855421686747,0.03614457831325301,0.8674698795180723
20,55001,365,Monroe,361,0,2,31,3,2,365,1.0,0.989041095890411,0.0,0.005479452054794521,0.005479452054794521,331,0.08493150684931507,0.00821917808219178,0.9068493150684932
21,55001,381,New Chester,362,4,9,7,3,6,381,1.0,0.9501312335958005,0.010498687664041995,0.023622047244094488,0.015748031496062992,371,0.01837270341207349,0.007874015748031496,0.973753280839895
22,55001,350,New Chester,335,2,6,7,2,7,350,1.0,0.9571428571428572,0.005714285714285714,0.017142857142857144,0.02,341,0.02,0.005714285714285714,0.9742857142857143
