race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0547 (0.049-0.0596),0.0228 (0.0178-0.0274),0.9226 (0.9154-0.9302)
OVAP,0.0463 (0.0164-0.0859),0.0604 (0.0274-0.1021),0.8933 (0.8358-0.9416)
