race,GOV14D,GOV14R,GOV14None
WVAP,0.0849 (0.0738-0.0944),0.2785 (0.2699-0.2846),0.6366 (0.6252-0.6498)
OVAP,0.0918 (0.0345-0.1636),0.0394 (0.0113-0.0822),0.8688 (0.7878-0.9347)
