race,SEN18D,SEN18R,SEN18None
WVAP,0.1684 (0.1541-0.1818),0.2662 (0.2564-0.2749),0.5653 (0.5507-0.5795)
BVAP,0.0991 (0.0369-0.184),0.042 (0.0116-0.0939),0.8589 (0.755-0.9335)
HVAP,0.3694 (0.0916-0.6717),0.175 (0.0501-0.3531),0.4556 (0.1772-0.7767)
OVAP,0.4555 (0.1462-0.7446),0.1835 (0.0518-0.3846),0.361 (0.125-0.6972)
