race,SEN16D,SEN16R,SEN16None
WVAP,0.2171 (0.1984-0.2324),0.3643 (0.354-0.3722),0.4187 (0.4009-0.438)
OVAP,0.1441 (0.0557-0.2556),0.0553 (0.0161-0.1065),0.8006 (0.6849-0.8997)
