race,SEN12D,SEN12R,SEN12None
WVAP,0.1773 (0.1623-0.1907),0.2739 (0.2652-0.2803),0.5488 (0.5338-0.5656)
OVAP,0.1446 (0.0659-0.2398),0.0418 (0.011-0.0907),0.8136 (0.7143-0.9008)
