race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0181 (0.0158-0.0201),0.0034 (0.002-0.0051),0.0184 (0.0156-0.0207),0.9601 (0.9565-0.9638)
OVAP,0.0179 (0.0053-0.036),0.0232 (0.008-0.0381),0.0222 (0.0069-0.0438),0.9366 (0.9065-0.9624)
