race,PRES12D,PRES12R,PRES12None
WVAP,0.2269 (0.2075-0.2424),0.3512 (0.3409-0.3585),0.4219 (0.4037-0.4434)
OVAP,0.1747 (0.0819-0.2927),0.0515 (0.0156-0.1057),0.7738 (0.6444-0.8806)
