race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0147 (0.0117-0.0175),0.0142 (0.0122-0.016),0.009 (0.0072-0.0104),0.9621 (0.9582-0.9661)
OVAP,0.0338 (0.0135-0.0598),0.0165 (0.005-0.0331),0.0147 (0.0042-0.0303),0.935 (0.9014-0.9637)
