race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0187 (0.0159-0.0214),0.0024 (0.0014-0.0034),0.007 (0.0054-0.0085),0.0014 (0.0006-0.0022),0.0086 (0.0064-0.0107),0.962 (0.958-0.9661)
OVAP,0.0282 (0.0108-0.048),0.0128 (0.0045-0.0232),0.0156 (0.0059-0.0286),0.0166 (0.0089-0.0251),0.0269 (0.0117-0.0442),0.9 (0.8673-0.9279)
