race,COMP18D,COMP18R,COMP18None
WVAP,0.2098 (0.1953-0.2245),0.2283 (0.2168-0.2374),0.5618 (0.5448-0.5779)
BVAP,0.0998 (0.0334-0.1934),0.0427 (0.0083-0.0903),0.8575 (0.7541-0.9388)
HVAP,0.3492 (0.1111-0.5975),0.1764 (0.04-0.3877),0.4744 (0.1795-0.7415)
OVAP,0.4043 (0.1326-0.6676),0.1887 (0.0461-0.3931),0.407 (0.1704-0.6895)
