race,GOV14D,GOV14R,GOV14None
WVAP,0.0677 (0.0568-0.0788),0.2689 (0.2588-0.2775),0.6634 (0.6496-0.6782)
BVAP,0.0671 (0.0161-0.1307),0.043 (0.0112-0.0965),0.8899 (0.8117-0.9527)
HVAP,0.3158 (0.1242-0.5455),0.1791 (0.0594-0.352),0.5051 (0.2302-0.7408)
OVAP,0.4565 (0.168-0.7318),0.1661 (0.049-0.3377),0.3773 (0.1183-0.6596)
