race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0408 (0.0355-0.0453),0.0005 (0.0002-0.001),0.9587 (0.9541-0.964)
OVAP,0.0489 (0.0207-0.0854),0.0133 (0.0083-0.0182),0.9378 (0.9001-0.9668)
