race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0109 (0.008-0.0138),0.0114 (0.0092-0.0134),0.0068 (0.0052-0.0083),0.9709 (0.9671-0.9747)
BVAP,0.0217 (0.0072-0.0446),0.0129 (0.0033-0.0296),0.0122 (0.0037-0.0263),0.9532 (0.9219-0.9761)
HVAP,0.0743 (0.0179-0.1454),0.0553 (0.0178-0.1118),0.0418 (0.0118-0.0805),0.8286 (0.7333-0.9056)
OVAP,0.1448 (0.0506-0.2536),0.0759 (0.0257-0.1495),0.0644 (0.0225-0.1244),0.7149 (0.5772-0.8442)
