race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0341 (0.0291-0.0391),0.0003 (0.0001-0.0006),0.9655 (0.9606-0.9705)
BVAP,0.039 (0.0115-0.077),0.0071 (0.0021-0.0155),0.9539 (0.9152-0.9822)
HVAP,0.1376 (0.0426-0.2631),0.0201 (0.0065-0.0379),0.8423 (0.7185-0.9378)
OVAP,0.2015 (0.0637-0.3672),0.0257 (0.0102-0.0426),0.7728 (0.6089-0.9103)
