race,AG18D,AG18R,AG18None
WVAP,0.179 (0.1635-0.1914),0.2941 (0.285-0.3008),0.5269 (0.5123-0.5439)
OVAP,0.1191 (0.0467-0.2148),0.0436 (0.0126-0.09),0.8373 (0.7317-0.918)
