race,COMP14D,COMP14R,COMP14None
WVAP,0.119 (0.1071-0.1308),0.2128 (0.2024-0.2209),0.6683 (0.6538-0.6836)
BVAP,0.0659 (0.0183-0.1317),0.0384 (0.0099-0.0849),0.8957 (0.8156-0.9555)
HVAP,0.3128 (0.1005-0.5454),0.1566 (0.0409-0.3527),0.5306 (0.2358-0.7666)
OVAP,0.4001 (0.1699-0.6525),0.1842 (0.0544-0.3752),0.4157 (0.1758-0.6652)
