race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0142 (0.0117-0.0166),0.0015 (0.0007-0.0023),0.0145 (0.0118-0.0172),0.9699 (0.9662-0.9739)
BVAP,0.0164 (0.0047-0.037),0.0096 (0.0029-0.021),0.018 (0.005-0.0393),0.956 (0.9263-0.9779)
HVAP,0.0685 (0.0197-0.1376),0.0391 (0.0101-0.0798),0.0726 (0.0253-0.1386),0.8198 (0.7276-0.9006)
OVAP,0.098 (0.0348-0.183),0.103 (0.0555-0.148),0.1056 (0.0333-0.1963),0.6934 (0.5694-0.8062)
