race,GOV18D,GOV18R,GOV18None
WVAP,0.0931 (0.079-0.106),0.3805 (0.3695-0.388),0.5265 (0.511-0.5435)
OVAP,0.1261 (0.0466-0.2213),0.0488 (0.014-0.1042),0.825 (0.7159-0.916)
