race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0449 (0.0384-0.0516),0.0147 (0.0102-0.0194),0.9404 (0.9327-0.9477)
BVAP,0.0331 (0.0097-0.0708),0.0297 (0.0081-0.0624),0.9372 (0.8888-0.9718)
HVAP,0.1822 (0.0546-0.3543),0.1462 (0.0566-0.2752),0.6716 (0.4728-0.8436)
OVAP,0.2433 (0.0875-0.4168),0.307 (0.1304-0.494),0.4497 (0.2482-0.6443)
