race,SEN18D,SEN18R,SEN18None
WVAP,0.1851 (0.1679-0.1984),0.2757 (0.2663-0.2822),0.5393 (0.5237-0.5592)
OVAP,0.1253 (0.0485-0.2329),0.0425 (0.0124-0.0902),0.8321 (0.7052-0.9174)
