race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0135 (0.0108-0.0164),0.0011 (0.0005-0.0018),0.0042 (0.003-0.0057),0.0007 (0.0003-0.0011),0.0047 (0.0029-0.0067),0.9759 (0.9719-0.9795)
BVAP,0.0178 (0.0049-0.037),0.0063 (0.0019-0.0137),0.0093 (0.0027-0.0205),0.0068 (0.0019-0.0145),0.0128 (0.0037-0.0289),0.947 (0.9173-0.9697)
HVAP,0.0929 (0.0308-0.1692),0.0232 (0.0075-0.0455),0.0489 (0.0157-0.0923),0.0245 (0.0076-0.0471),0.0672 (0.0217-0.1274),0.7433 (0.6375-0.8325)
OVAP,0.1562 (0.0625-0.2582),0.0612 (0.0284-0.0901),0.0887 (0.0287-0.1469),0.0516 (0.0251-0.0763),0.1485 (0.0649-0.2309),0.4938 (0.3548-0.6468)
