race,AG14D,AG14R,AG14None
WVAP,0.1077 (0.0957-0.1175),0.2275 (0.2199-0.2328),0.6648 (0.6529-0.6787)
OVAP,0.0832 (0.0253-0.1595),0.035 (0.0102-0.0743),0.8817 (0.7981-0.9511)
