race,COMP18D,COMP18R,COMP18None
WVAP,0.2268 (0.2106-0.24),0.2382 (0.2289-0.2447),0.535 (0.5202-0.5532)
OVAP,0.1109 (0.0381-0.2077),0.0414 (0.0103-0.0881),0.8477 (0.7419-0.9309)
