race,PRES16D,PRES16R,PRES16None
WVAP,0.1928 (0.1746-0.2077),0.4019 (0.3888-0.4106),0.4054 (0.3883-0.427)
OVAP,0.1584 (0.0709-0.2703),0.0575 (0.0161-0.1231),0.7841 (0.6576-0.8823)
