race,COMP14D,COMP14R,COMP14None
WVAP,0.1374 (0.1268-0.1457),0.2218 (0.2147-0.2273),0.6408 (0.6303-0.6529)
OVAP,0.0726 (0.0247-0.1383),0.0383 (0.0127-0.0757),0.8891 (0.8163-0.946)
