race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.4274 (0.3938-0.464),0.0764 (0.0477-0.1071),0.4962 (0.4608-0.5309),0.0563 (0.0526-0.0598)
OVAP,0.1788 (0.0869-0.2912),0.4206 (0.307-0.5423),0.4006 (0.2875-0.5187),0.0695 (0.0551-0.0859)
