race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7522 (0.7052-0.8006),0.2478 (0.1994-0.2948),0.0809 (0.0743-0.0875)
OVAP,0.3296 (0.2047-0.4614),0.6704 (0.5386-0.7953),0.1157 (0.0873-0.1463)
