race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5436 (0.5027-0.5793),0.4564 (0.4207-0.4973),0.482 (0.452-0.5124)
OVAP,0.7479 (0.5986-0.8741),0.2521 (0.1259-0.4014),0.5136 (0.3839-0.6361)
