race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4594 (0.4185-0.4991),0.5406 (0.5009-0.5815),0.4058 (0.383-0.4278)
OVAP,0.6835 (0.4945-0.8278),0.3165 (0.1722-0.5055),0.3771 (0.2786-0.4774)
