race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3539 (0.3067-0.3969),0.3865 (0.354-0.4207),0.2596 (0.2343-0.2847),0.0533 (0.0493-0.0572)
OVAP,0.7174 (0.5911-0.8228),0.1565 (0.0822-0.2505),0.1261 (0.0634-0.2117),0.0772 (0.0591-0.0968)
