race,AG18D,AG18R,AG18Turnout
WVAP,0.3208 (0.2804-0.361),0.6792 (0.639-0.7196),0.4467 (0.427-0.4663)
BVAP,0.7305 (0.5607-0.8577),0.2695 (0.1423-0.4393),0.5703 (0.4504-0.6797)
HVAP,0.7186 (0.4962-0.8825),0.2814 (0.1175-0.5038),0.7999 (0.6933-0.886)
OVAP,0.8287 (0.687-0.9439),0.1713 (0.0561-0.313),0.9433 (0.8941-0.9744)
