race,AG14D,AG14R,AG14Turnout
WVAP,0.2972 (0.2466-0.35),0.7028 (0.65-0.7534),0.3627 (0.3384-0.3874)
OVAP,0.7679 (0.6197-0.8773),0.2321 (0.1227-0.3803),0.4279 (0.3196-0.535)
