race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3656 (0.3196-0.4166),0.6344 (0.5834-0.6804),0.447 (0.4215-0.4786)
OVAP,0.8133 (0.6871-0.9025),0.1867 (0.0975-0.3129),0.592 (0.4566-0.6944)
