race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1373 (0.105-0.1778),0.8627 (0.8222-0.895),0.3775 (0.3605-0.3963)
OVAP,0.8192 (0.7179-0.896),0.1808 (0.104-0.2821),0.4993 (0.418-0.5734)
