race,AG14D,AG14R,AG14Turnout
WVAP,0.285 (0.243-0.3325),0.715 (0.6675-0.757),0.3408 (0.3236-0.3599)
BVAP,0.6971 (0.4995-0.8378),0.3029 (0.1622-0.5005),0.4185 (0.3091-0.5241)
HVAP,0.7176 (0.4126-0.889),0.2824 (0.111-0.5874),0.6408 (0.4773-0.787)
OVAP,0.7877 (0.5747-0.9316),0.2123 (0.0684-0.4253),0.7822 (0.624-0.893)
