race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5363 (0.5032-0.5727),0.4637 (0.4273-0.4968),0.4476 (0.4283-0.4675)
BVAP,0.7201 (0.5556-0.8472),0.2799 (0.1528-0.4444),0.5419 (0.4221-0.6522)
HVAP,0.6858 (0.3807-0.8659),0.3142 (0.1341-0.6193),0.7862 (0.6456-0.8819)
OVAP,0.8268 (0.6861-0.9316),0.1732 (0.0684-0.3139),0.929 (0.8537-0.9791)
